Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	Thick1	Thick2	Thick3	
-5.9931	-9.2955	-9.9881	-9.9907	-9.9940	1.0468	0.2767	0.2596	0.2327	0.1223	0.3000	0.5706	0.7485
15.0502	-4.0170	-9.4602	-9.6403	-9.9663	1.0239	0.2896	0.2083	0.1048	0.1024	0.3000	0.9329	0.9625
9.5690	-0.1992	-4.9304	-6.2056	-8.8182	0.8164	0.2609	0.2437	0.1373	0.1048	0.3000	0.8128	0.8519
22.5676	-8.2851	-9.0294	-9.7147	-9.7735	1.3420	1.3247	0.7382	0.4029	0.1394	0.3000	0.6027	0.6980
-9.5887	-9.5986	-9.6709	-9.7835	-9.9341	0.9749	0.5505	0.1897	0.1447	0.1004	0.3000	0.4674	0.5775
38.7197	18.4553	-7.2116	-7.5079	-9.9941	1.0121	0.8371	0.6024	0.4614	0.1980	0.3000	0.5657	0.5719
-0.0806	-2.8099	-3.4717	-6.6498	-6.7736	1.2124	1.2089	0.4695	0.2638	0.1660	0.3000	0.8306	0.9308
-8.4409	-8.6715	-8.8805	-9.2367	-9.4821	1.1198	0.6212	0.4929	0.2331	0.1983	0.3000	0.4402	0.7730
-0.1908	-0.5853	-3.9509	-6.1006	-8.3341	1.4564	0.6759	0.5632	0.2396	0.2095	0.3000	0.5247	0.6912
-7.4736	-9.3056	-9.6889	-9.8467	-9.9893	1.4352	0.2462	0.2134	0.1186	0.1013	0.3000	0.6319	0.7653
34.2773	17.3564	5.9338	1.3835	-4.9674	1.4216	1.1758	0.3587	0.2678	0.1775	0.3000	0.4827	0.5224
-6.9885	-9.6266	-9.6493	-9.8550	-9.9489	1.3758	0.7283	0.1913	0.1694	0.1024	0.3000	0.6166	0.6565
39.1510	-8.3034	-8.7374	-9.4496	-9.9459	1.4944	0.3617	0.1305	0.1037	0.1014	0.3000	0.6871	0.7704
-5.7641	-8.7605	-9.2984	-9.9029	-9.9577	1.0992	0.6833	0.2708	0.1930	0.1392	0.3000	0.6897	0.7740
-8.2737	-9.5746	-9.9942	-9.9944	-9.9972	1.4635	0.5277	0.1616	0.1461	0.1169	0.3000	0.4838	0.6774
13.8599	12.4383	-8.7870	-9.2062	-9.3871	0.7750	0.7682	0.4131	0.1259	0.1196	0.3000	0.7854	0.8561
6.7477	2.0249	-5.8117	-7.3916	-9.2411	1.2508	0.4043	0.2625	0.2097	0.1410	0.3000	0.5974	0.9488
-0.1948	-2.2166	-8.8459	-9.3230	-9.4460	1.3315	0.4149	0.2632	0.1085	0.1029	0.3000	0.8811	0.8962
9.3498	1.2128	-2.1092	-7.7662	-9.4546	1.3105	1.1719	0.2083	0.1141	0.1081	0.3000	0.4205	0.5376
4.0867	-3.4376	-7.2737	-9.1463	-9.6627	1.1725	1.0056	0.3882	0.3493	0.2210	0.3000	0.4138	0.8541
0.1390	-6.9703	-8.0165	-8.9217	-9.9905	1.4046	0.6320	0.1779	0.1394	0.1379	0.3000	0.4299	0.8023
10.5459	3.2558	-8.1062	-8.1840	-8.6235	1.4333	0.9476	0.2141	0.1123	0.1101	0.3000	0.6057	0.7588
7.2165	-8.4050	-9.9517	-9.9596	-9.9853	1.4962	0.1870	0.1140	0.1043	0.1038	0.3000	0.5064	0.7716
29.3194	22.8085	21.5563	1.5247	-1.7319	1.3969	0.4138	0.1472	0.1047	0.1030	0.3000	0.5660	0.8381
27.1728	12.7336	-9.1654	-9.4785	-9.8007	0.8578	0.8055	0.1062	0.1028	0.1007	0.3000	0.4012	0.5776
39.6701	29.6630	21.9038	16.7054	8.3333	1.1375	0.6744	0.6406	0.1908	0.1813	0.3000	0.6055	0.6467
12.1384	7.9522	3.2354	-9.4318	-9.6213	1.2856	1.2654	0.7248	0.3798	0.1798	0.3000	0.4948	0.5178
18.3690	-6.7560	-9.9387	-9.9566	-9.9861	1.3018	1.0273	0.3498	0.2468	0.2355	0.3000	0.4160	0.7204
28.9718	-1.9233	-9.5530	-9.9981	-9.9991	1.1153	0.4132	0.2876	0.2111	0.1397	0.3000	0.4015	0.7789
20.6595	-2.8384	-8.2455	-8.6747	-9.8906	1.0627	0.6626	0.1695	0.1386	0.1138	0.3000	0.5322	0.6181
9.8643	4.8583	-8.2221	-9.3750	-9.7902	0.8067	0.1982	0.1280	0.1074	0.1035	0.3000	0.5096	0.7868
10.2298	-3.4403	-7.8389	-9.1821	-9.1983	1.3147	0.7957	0.4235	0.2469	0.2358	0.3000	0.6443	0.9398
4.1251	-7.3935	-8.2752	-9.7794	-9.9153	1.0491	0.1084	0.1022	0.1011	0.1009	0.3000	0.6717	0.7817
0.3301	-9.8315	-9.9298	-9.9562	-9.9923	0.8250	0.7925	0.1818	0.1137	0.1011	0.3000	0.5076	0.7395
