Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	
10.8520	-8.9637	-9.9280	-9.9389	-9.9945	0.2698	0.2177	0.2129	0.2009	0.1585
3.8657	-8.5091	-9.7177	-9.9946	-9.9992	0.2652	0.2128	0.1344	0.1029	0.1010
18.4976	-8.6421	-8.9996	-9.6580	-9.9419	0.3579	0.3142	0.1845	0.1754	0.1365
31.2148	15.9905	-3.4990	-8.5548	-9.6532	0.3213	0.2889	0.1770	0.1223	0.1142
23.8896	-2.1145	-9.0479	-9.4950	-9.7964	0.2581	0.2000	0.1802	0.1270	0.1028
8.8207	-7.5602	-9.9952	-9.9992	-9.9992	0.3227	0.2829	0.1632	0.1604	0.1208
-3.4273	-5.5230	-7.2159	-8.0244	-9.9307	0.2872	0.2612	0.1037	0.1028	0.1009
11.3273	-4.6191	-4.9029	-6.5476	-9.6656	0.3501	0.2935	0.2834	0.1637	0.1102
27.4795	16.0572	11.7458	11.0344	9.8135	0.3379	0.2293	0.1879	0.1536	0.1509
5.0154	-3.9576	-9.5382	-9.7348	-9.8288	0.2979	0.2244	0.1946	0.1300	0.1084
-3.6159	-4.5752	-5.6193	-5.7349	-8.5237	0.3279	0.2981	0.2951	0.2554	0.1581
38.8987	3.4308	3.0784	-0.8744	-1.9774	0.3584	0.2072	0.1572	0.1218	0.1099
17.3490	5.9798	-8.4456	-9.9282	-9.9879	0.3646	0.2976	0.2564	0.1285	0.1115
-5.3896	-6.1407	-6.1937	-7.1450	-8.2806	0.3998	0.2203	0.1676	0.1397	0.1306
12.0310	-6.9281	-8.7179	-9.2413	-9.9706	0.3032	0.2137	0.1730	0.1284	0.1176
5.5688	-3.8561	-8.0389	-9.9129	-9.9928	0.2503	0.2110	0.1300	0.1066	0.1063
33.6759	29.8605	-0.8477	-7.0546	-9.9466	0.2661	0.2245	0.2080	0.1868	0.1420
-2.2541	-8.5165	-9.6400	-9.6725	-9.9198	0.3262	0.2652	0.2145	0.1697	0.1227
8.2266	-3.5364	-4.5735	-9.8680	-9.9140	0.3575	0.3088	0.1395	0.1315	0.1206
17.0565	4.5805	-6.6776	-9.9265	-9.9321	0.2539	0.2156	0.2051	0.1851	0.1786
37.9204	25.8046	-2.1571	-6.5659	-9.1406	0.2603	0.2463	0.1335	0.1025	0.1010
7.2757	2.4322	1.3179	-2.5329	-4.7941	0.3094	0.2363	0.1467	0.1429	0.1039
31.0779	-8.2237	-8.9651	-9.1112	-9.9755	0.2529	0.2297	0.1048	0.1038	0.1031
-0.1234	-8.7630	-9.8125	-9.8208	-9.8415	0.2715	0.2539	0.1604	0.1048	0.1003
23.1451	19.8796	10.9882	-0.0868	-5.0345	0.2534	0.2191	0.1694	0.1282	0.1280
6.6077	6.1339	1.9194	1.3200	-3.4936	0.3090	0.2642	0.1436	0.1265	0.1215
30.6594	-3.7675	-4.5483	-5.7498	-8.0094	0.2694	0.2158	0.2039	0.1844	0.1042
23.2072	-7.7539	-8.8264	-9.6521	-9.9704	0.2708	0.2214	0.1545	0.1377	0.1197
24.6277	0.1585	-7.1164	-9.5943	-9.7966	0.3816	0.3502	0.2696	0.2471	0.1134
17.7819	11.0846	10.5088	9.9354	2.4209	0.3201	0.2851	0.2384	0.1284	0.1176
27.4881	-3.6693	-6.8650	-9.8483	-9.8953	0.3731	0.2454	0.1402	0.1327	0.1302
8.0230	-9.7305	-9.9609	-9.9851	-9.9893	0.2703	0.2566	0.1445	0.1274	0.1163
25.5769	7.9880	-9.3173	-9.8801	-9.9420	0.2782	0.2037	0.1606	0.1538	0.1519
30.9124	14.7636	-7.6158	-9.0296	-9.9216	0.3421	0.2863	0.1978	0.1320	0.1052
31.0699	5.4470	4.8902	-3.7962	-4.9500	0.3159	0.2292	0.1568	0.1123	0.1095
-2.3119	-5.6480	-9.8195	-9.8323	-9.8486	0.3280	0.2360	0.1939	0.1599	0.1462
0.4652	-2.7414	-7.0606	-9.1213	-9.5743	0.3160	0.2764	0.2614	0.2068	0.1669
5.3987	1.2873	-7.5626	-7.6673	-9.3439	0.2816	0.2527	0.1674	0.1189	0.1175
5.7210	-8.3818	-9.7446	-9.8561	-9.9026	0.3134	0.2003	0.1588	0.1581	0.1244
22.5662	4.9851	-8.7848	-9.2334	-9.5974	0.3983	0.3108	0.3046	0.2832	0.1133
35.5429	4.4319	-2.3842	-5.7894	-7.4210	0.3546	0.2960	0.1965	0.1101	0.1051
14.0655	-8.1199	-9.8251	-9.9901	-9.9903	0.3976	0.2080	0.1896	0.1132	0.1006
13.2252	11.1392	-1.7202	-2.1851	-2.8783	0.3241	0.2797	0.1751	0.1624	0.1616
38.3399	13.7242	-2.9134	-5.0805	-8.6749	0.3354	0.2057	0.1848	0.1149	0.1127
33.8721	-9.5154	-9.9170	-9.9175	-9.9552	0.3937	0.3728	0.1267	0.1069	0.1036
5.1805	1.7535	-0.6802	-9.9153	-9.9256	0.3594	0.2081	0.1672	0.1318	0.1010
11.0151	-4.4507	-8.1770	-9.3910	-9.4602	0.3425	0.3127	0.1809	0.1034	0.1033
23.8602	9.7614	5.7942	-0.2562	-0.3350	0.2892	0.2032	0.1544	0.1182	0.1084
30.3166	29.6361	13.4874	-4.8672	-9.0448	0.3765	0.3056	0.2613	0.1123	0.1058
