Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	
38.2389	5.7526	1.2615	-6.4119	-7.1700	0.3525	0.2295	0.1552	0.1477	0.1354
21.0451	-7.5522	-8.2225	-9.9730	-9.9963	0.3210	0.2211	0.1027	0.1006	0.1002
5.4095	-9.7734	-9.8025	-9.8943	-9.9231	0.3136	0.2038	0.1850	0.1177	0.1096
36.7441	5.4634	1.2368	-6.5073	-6.5231	0.3916	0.3912	0.2708	0.2391	0.1116
30.9665	-1.7236	-5.0244	-6.2951	-7.1438	0.2521	0.2293	0.1045	0.1024	0.1002
27.9895	20.7470	14.4903	-8.0522	-8.0878	0.3867	0.2497	0.1670	0.1202	0.1098
36.5912	14.0231	-2.6327	-4.1190	-9.7694	0.3207	0.2500	0.1411	0.1055	0.1026
-8.6655	-9.5542	-9.9171	-9.9316	-9.9541	0.3108	0.2634	0.1408	0.1113	0.1085
26.3951	22.7103	-3.7923	-5.6108	-8.7062	0.3077	0.2231	0.1259	0.1234	0.1135
18.2567	6.9714	6.5435	-4.8854	-6.5457	0.3815	0.3612	0.2255	0.1835	0.1425
-7.6223	-8.1580	-9.4211	-9.8091	-9.8153	0.2699	0.2074	0.1770	0.1008	0.1001
28.9314	-7.5087	-7.6656	-7.7620	-8.2531	0.3034	0.2474	0.1706	0.1133	0.1030
-1.7472	-2.1330	-3.4824	-3.6309	-5.8871	0.3921	0.2197	0.2186	0.1202	0.1070
28.0324	0.1572	-1.0558	-8.4791	-9.1138	0.3300	0.2742	0.1074	0.1035	0.1013
24.3671	14.9104	12.7119	-5.2796	-8.2319	0.3782	0.2427	0.1712	0.1002	0.1002
29.0567	5.2037	-6.0148	-7.9333	-8.5710	0.3126	0.2547	0.1912	0.1100	0.1023
22.9614	13.8927	-4.1316	-5.5736	-6.7609	0.3671	0.2179	0.1059	0.1001	0.1001
14.9441	-1.4299	-2.4595	-7.4252	-7.6575	0.2627	0.2603	0.1236	0.1073	0.1032
17.8521	5.7298	0.6605	-7.0082	-8.0821	0.3510	0.2963	0.2050	0.1518	0.1019
-5.8478	-9.2775	-9.5565	-9.6239	-9.9626	0.2504	0.2238	0.2035	0.1054	0.1023
21.8472	10.5107	0.3518	-7.9891	-8.7425	0.2849	0.2359	0.1685	0.1288	0.1003
5.2249	-1.7795	-8.9091	-9.0735	-9.1566	0.3218	0.2248	0.1288	0.1090	0.1075
39.2695	1.8306	-1.7251	-7.8014	-9.7742	0.3670	0.3056	0.2982	0.1553	0.1097
30.4458	9.1406	3.5373	-5.6717	-6.5395	0.2524	0.2041	0.1583	0.1020	0.1015
38.8748	8.8546	2.5382	-4.3562	-7.2078	0.2883	0.2142	0.1214	0.1168	0.1151
35.3724	-1.3073	-3.1454	-4.3979	-7.2506	0.3302	0.2695	0.1752	0.1154	0.1100
32.9494	11.4474	-8.7393	-9.8815	-9.8876	0.3752	0.3025	0.2121	0.1612	0.1053
34.5951	20.8939	4.8217	-6.4393	-7.4310	0.3314	0.2557	0.1506	0.1053	0.1047
25.7041	-7.3025	-8.8668	-9.7562	-9.9072	0.2606	0.2158	0.1228	0.1165	0.1001
36.9924	-0.2639	-6.0954	-8.6720	-9.1072	0.3047	0.2277	0.1389	0.1083	0.1047
24.4576	21.0568	4.4950	1.2131	-6.5564	0.3159	0.2683	0.1168	0.1029	0.1028
10.5113	7.3010	-0.7532	-0.8429	-3.5564	0.2691	0.2125	0.1252	0.1072	0.1020
34.9357	18.1350	14.5366	3.8227	-8.2444	0.3071	0.2059	0.1546	0.1235	0.1015
-7.7605	-9.3112	-9.5290	-9.9313	-9.9479	0.2807	0.2580	0.1408	0.1168	0.1092
19.7604	3.7379	-5.7708	-6.7008	-9.9843	0.2936	0.2408	0.1656	0.1155	0.1018
13.9293	0.1255	-4.0590	-5.6373	-7.9917	0.3162	0.2471	0.2185	0.1216	0.1128
24.5229	5.9237	-0.8191	-4.7554	-6.2533	0.3479	0.2119	0.1505	0.1219	0.1053
39.9814	6.2239	-6.0001	-7.9191	-8.4247	0.2744	0.2651	0.1907	0.1178	0.1053
19.1855	15.7971	-8.1819	-9.4020	-9.9500	0.2631	0.2098	0.1532	0.1059	0.1009
30.7012	16.0149	11.1187	5.1724	3.7236	0.3768	0.2536	0.2149	0.1353	0.1165
19.8047	19.1723	-8.8714	-9.8586	-9.9898	0.2715	0.2292	0.1568	0.1218	0.1046
27.4627	-6.9102	-9.8866	-9.9485	-9.9751	0.2818	0.2022	0.1629	0.1556	0.1154
36.3025	18.3241	17.6337	1.4631	-1.2133	0.3640	0.2681	0.2316	0.1937	0.1030
2.0469	-5.6139	-7.3550	-8.5666	-9.4594	0.3579	0.2094	0.1060	0.1046	0.1012
23.8320	20.2309	-4.6707	-8.2100	-8.9300	0.2884	0.2355	0.1750	0.1689	0.1032
19.0989	-7.9765	-8.3748	-9.1030	-9.5373	0.2655	0.2258	0.1001	0.1000	0.1000
31.8384	27.9093	13.2853	-3.2564	-4.0128	0.2611	0.2136	0.1545	0.1160	0.1013
24.3588	-2.6285	-3.2946	-4.0439	-6.2153	0.3287	0.2302	0.1935	0.1292	0.1043
18.0810	1.9186	-3.3073	-6.1844	-7.2903	0.3561	0.2515	0.1419	0.1212	0.1081
11.4787	-7.7723	-8.7018	-9.8738	-9.9338	0.3544	0.2263	0.1695	0.1123	0.1036
29.2021	-2.0525	-5.2532	-6.4658	-7.2775	0.2544	0.2282	0.1090	0.1067	0.1007
15.8444	13.2148	-5.5819	-6.8803	-9.0767	0.3061	0.2356	0.1422	0.1307	0.1112
25.3256	4.3205	-2.9978	-4.2760	-6.1578	0.3839	0.2184	0.1821	0.1190	0.1125
26.2847	8.0209	-9.1087	-9.4925	-9.8484	0.3265	0.2219	0.1696	0.1371	0.1093
10.7368	7.3547	-0.8669	-0.9592	-3.6413	0.2701	0.2135	0.1258	0.1080	0.1021
16.9239	11.6715	-5.4894	-8.5961	-9.3471	0.2893	0.2461	0.1736	0.1665	0.1144
-7.7605	-9.3112	-9.5290	-9.9313	-9.9479	0.2807	0.2580	0.1408	0.1168	0.1092
-7.6223	-9.1580	-9.4211	-9.8091	-9.8153	0.2699	0.2074	0.1770	0.1008	0.1001
28.0324	-0.8428	-1.0558	-8.4791	-9.1138	0.3300	0.2742	0.1074	0.1035	0.1013
22.0451	-7.5522	-8.2225	-9.9730	-9.9963	0.3210	0.2211	0.1027	0.1006	0.1002
-0.7472	-1.1330	-2.4824	-2.6309	-6.8871	0.3921	0.2197	0.2186	0.1202	0.1070
28.9314	-7.5087	-7.6656	-7.7620	-8.2531	0.3034	0.2474	0.1706	0.1133	0.1030
21.0451	-7.5522	-8.2225	-9.9730	-9.9963	0.3210	0.2211	0.1027	0.1006	0.1002
21.0451	-7.5522	-8.2225	-9.9730	-9.9963	0.3210	0.2211	0.1027	0.1006	0.1002
21.0451	-7.5522	-9.2225	-9.9730	-9.9963	0.3210	0.2211	0.1027	0.1006	0.1002
24.8320	20.2309	-3.6707	-8.2100	-9.9300	0.2884	0.2355	0.1750	0.1689	0.1032
17.8521	5.7298	1.6605	-7.0082	-9.0821	0.3510	0.2963	0.2050	0.1518	0.1019
11.4535	-1.3938	-6.9212	-9.5969	-9.8048	0.2640	0.2548	0.1211	0.1073	0.1018
35.5912	15.0231	-1.6327	-4.1190	-8.7694	0.3207	0.2500	0.1411	0.1055	0.1026
-1.7472	-2.1330	-3.4824	-3.6309	-5.8871	0.3921	0.2197	0.2186	0.1202	0.1070
20.0989	-7.9765	-8.3748	-9.1030	-9.5373	0.2655	0.2258	0.1001	0.1000	0.1000
34.5951	20.8939	4.8217	-5.4393	-7.4310	0.3314	0.2557	0.1506	0.1053	0.1047
19.8047	19.1723	-8.8714	-9.8586	-9.9898	0.2715	0.2292	0.1568	0.1218	0.1046
11.4535	-1.3938	-6.9212	-9.5969	-9.8048	0.2640	0.2548	0.1211	0.1073	0.1018
28.0324	1.1572	-1.0558	-7.4791	-9.1138	0.3300	0.2742	0.1074	0.1035	0.1013
-7.6655	-9.5542	-9.9171	-9.9316	-9.9541	0.3108	0.2634	0.1408	0.1113	0.1085
27.2186	11.2724	-8.1761	-9.4629	-9.8469	0.3422	0.2834	0.1724	0.1634	0.1154
14.9441	-1.4299	-2.4595	-7.4252	-7.6575	0.2627	0.2603	0.1236	0.1073	0.1032
38.8748	8.8546	1.5382	-4.3562	-7.2078	0.2883	0.2142	0.1214	0.1168	0.1151
36.7441	5.4634	1.2368	-5.5073	-6.5231	0.3916	0.3912	0.2708	0.2391	0.1116
