Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	
-2.1193	-2.4569	-3.9634	-7.4540	-7.9830	0.3956	0.2949	0.1277	0.1253	0.1243
25.3023	-0.2240	-9.0504	-9.3402	-9.3731	0.2548	0.2025	0.1844	0.1268	0.1009
11.9372	6.7933	-6.8618	-8.6017	-9.0081	0.3072	0.2853	0.1907	0.1586	0.1443
3.8013	-0.9588	-8.9241	-8.9674	-9.3957	0.3520	0.2247	0.1622	0.1212	0.1047
27.5634	9.0054	6.9320	-0.7345	-8.6167	0.2883	0.2617	0.2551	0.1215	0.1055
32.0359	24.2292	21.8079	-3.7467	-6.1477	0.2881	0.2215	0.1425	0.1107	0.1051
-6.2073	-7.9868	-8.1197	-8.9304	-9.9873	0.2581	0.2453	0.1189	0.1089	0.1030
-1.8909	-7.4763	-9.5820	-9.8901	-9.9242	0.3691	0.2894	0.2140	0.1746	0.1558
12.5271	-4.8418	-9.2140	-9.5769	-9.9669	0.2626	0.2572	0.2298	0.2293	0.1572
-4.6674	-9.9753	-9.9798	-9.9983	-9.9996	0.3943	0.3506	0.3177	0.1870	0.1696
11.5707	-6.0774	-9.4291	-9.5037	-9.7271	0.3866	0.2492	0.1203	0.1118	0.1017
32.6516	4.9687	-3.9855	-8.5570	-9.7346	0.3433	0.2736	0.1132	0.1016	0.1004
29.0126	-0.5710	-9.0905	-9.1432	-9.5072	0.3085	0.2438	0.1190	0.1181	0.1011
1.7390	-0.3600	-9.5853	-9.7308	-9.8256	0.3030	0.2016	0.1172	0.1126	0.1057
17.3504	10.3677	3.9880	-4.8456	-5.9784	0.2944	0.2178	0.1216	0.1135	0.1011
36.4693	12.6209	0.1066	-4.8607	-5.7980	0.3664	0.2725	0.1528	0.1270	0.1215
22.2159	16.1458	-0.8300	-1.9676	-5.0000	0.3068	0.2569	0.2473	0.1811	0.1476
0.3871	-5.1085	-5.8700	-9.0670	-9.7876	0.2952	0.2219	0.1237	0.1041	0.1018
