AeroDyn airfoil file.  Compatible with AeroDyn v13.0.
BW-3, Re=0.2 Million, Smooth roughness, XFOIL data smoothed by hand. 
Viterna Extended w/ AR=6.75. Fourth column is the minimum pressure coefficient.
  1           Number of airfoil tables in this file
  0.2        Table ID parameter (Reynolds number in millions).  For efficiency, make very large if only one table.
  11.00     Stall angle (deg)				
  -3.6040   Zero Cn angle of attack (deg)				
   7.8688   Cn slope for zero lift (dimensionless)				
   2.0057   Cn extrapolated to value at positive stall angle of attack				
  -0.8000   Cn at stall value for negative angle of attack				
   2.00     Angle of attack for minimum CD (deg)				
   0.0022   Minimum CD value				
 -180 0 0.0438 -1     
 -170 0.208 0.082 -1     
 -160 0.417 0.192 -1     
 -150 0.625 0.3604 -1     
 -140 0.587 0.5665 -1     
 -130 0.529 0.7851 -1     
 -120 0.436 0.9894 -1     
 -110 0.31 1.1541 -1     
 -100 0.159 1.2587 -1     
 -90 0 1.29 -1     
 -80 -0.159 1.2587 -1     
 -70 -0.31 1.1541 -1     
 -60 -0.436 0.9894 -1     
 -50 -0.529 0.7851 -1     
 -40 -0.587 0.5665 -1     
 -30 -0.625 0.3604 -1     
 -20 -0.675 0.252 -1.4073     
 -19 -0.643 0.2401 -1.3201     
 -18 -0.613 0.2271 -1.2131     
 -17 -0.582 0.215 -1.1755     
 -16 -0.554 0.2039 -1.204     
 -15 -0.525 0.1898 -1.2435     
 -14 -0.497 0.1775 -1.2919     
 -13 -0.334 0.1482 -1.337     
 -12 -0.317 0.138 -1.4118     
 -11 -0.422 0.1409 -1.292     
 -10 -0.286 0.1154 -1.4111     
 -9 -0.377 0.1173 -1.4504     
 -8 -0.383 0.1117 -1.3806     
 -7 -0.352 0.097 -1.1793     
 -6 -0.314 0.0894 -1.1206     
 -5 -0.288 0.0794 -1.089     
 -4 -0.094 0.0668 -1.1153     
 -3 0.038 0.0475 -1.0689     
 -2 0.219 0.0374 -1.1059     
 -1 0.369 0.0216 -1.0413     
 0 0.54 0.0194 -0.5935     
 1 0.669 0.0027 -0.7248     
 2 0.774 0.0022 -1.085     
 3 0.907 0.0134 -1.4995     
 4 1.001 0.0134 -2.0268     
 5 1.05 0.019 -2.394     
 6 1.205 0.0237 -3.0168     
 7 1.295 0.0284 -3.3175     
 8 1.387 0.0435 -3.5762     
 5 1.049 0.0197 -3.9977     
 9 1.434 0.0551 -4.0234     
 10 1.435 0.0706 -1.2714     
 11 1.377 0.0963 -3.6413     
 13 1.166 0.1478 -3.125     
 14 1.13 0.1827 -2.4967     
 15 1.138 0.201 -2.3825     
 16 1.138 0.225 -2.2604     
 17 1.148 0.2472 -2.0689     
 18 1.157 0.2671 -1.8395     
 19 1.167 0.2877 -1.7381     
 20 1.175 0.3077 -1.7837     
 30 0.893 0.3604 -1     
 40 0.839 0.5665 -1     
 50 0.755 0.7851 -1     
 60 0.623 0.9894 -1     
 70 0.442 1.1541 -1     
 80 0.227 1.2587 -1     
 90 0 1.29 -1     
 100 -0.159 1.2587 -1     
 110 -0.31 1.1541 -1     
 120 -0.436 0.9894 -1     
 130 -0.529 0.7851 -1     
 140 -0.587 0.5665 -1     
 150 -0.625 0.3604 -1     
 160 -0.417 0.192 -1     
 170 -0.208 0.082 -1     
 180 0 0.0438 -1     
