Twist1	Twist2	Twist3	Twist4	Twist5	Chord1	Chord2	Chord3	Chord4	Chord5	Thick1	Thick2	Thick3	RPM
29.9983	25.0715	6.7338	-0.6840	-7.2970	1.3000	0.7522	0.4499	0.2857	0.1259	0.1500	0.2792	0.6915	13.2872
35.8125	17.9342	15.8071	13.0173	12.4971	1.3000	1.1091	0.9212	0.7286	0.6207	0.1500	0.2579	0.5470	13.0012
8.9944	4.2126	-2.8708	-4.4090	-5.3645	1.3000	0.9347	0.6982	0.4346	0.2233	0.1500	0.2599	0.4818	12.9016
38.2015	-3.4631	-7.0797	-7.5898	-9.9636	1.3000	0.4308	0.2185	0.1321	0.0956	0.1500	0.2819	0.4044	10.9653
38.6872	13.8981	3.7971	1.7309	-0.5586	1.3000	1.1232	0.0608	0.0500	0.0500	0.1500	0.2666	0.7416	13.1385
26.3587	9.1934	2.6069	0.0561	-6.0988	1.3000	1.2700	1.1038	0.6340	0.0657	0.1500	0.2540	0.4222	8.8605
10.6394	5.8270	-6.8064	-7.5566	-8.1791	1.3000	0.7045	0.5261	0.1117	0.1080	0.1500	0.2942	0.5723	6.2576
19.8593	15.3854	12.8713	-0.3340	-8.4472	1.3000	1.0431	0.9133	0.7735	0.7686	0.1500	0.2601	0.8274	13.3541
35.3075	15.6770	4.3626	-8.4926	-8.9157	1.3000	0.4487	0.0629	0.0552	0.0534	0.1500	0.2823	0.4098	7.1074
35.2890	14.2226	11.1706	-2.9071	-6.7589	1.3000	1.0071	0.9149	0.6441	0.1209	0.1500	0.2520	0.6458	6.4015
27.1350	-6.3240	-6.9219	-9.7804	-9.8066	1.3000	0.8058	0.6109	0.0971	0.0921	0.1500	0.2968	0.9472	14.8711
25.1424	4.2777	-2.0965	-8.8670	-9.6722	1.3000	0.9201	0.4886	0.4364	0.2761	0.1500	0.2735	0.9243	9.0396
34.5083	26.1993	18.9191	12.2304	9.5403	1.3000	0.2990	0.2101	0.1126	0.0780	0.1500	0.2532	0.9006	7.9879
36.4415	3.0279	-9.1547	-9.4026	-9.6627	1.3000	1.1056	1.0913	0.9641	0.6229	0.1500	0.2775	0.9119	6.1525
35.1840	3.8313	-9.9935	-9.9939	-9.9979	1.3000	0.8756	0.7775	0.3935	0.2560	0.1500	0.2604	0.6149	6.6282
24.4831	3.6951	-9.2114	-9.9013	-9.9990	1.3000	1.1450	1.1028	0.5360	0.3467	0.1500	0.2583	0.4142	13.1634
39.9767	0.5862	-7.9985	-9.3321	-9.3576	1.3000	0.9286	0.4508	0.4060	0.0799	0.1500	0.2667	0.4668	10.5748
32.0410	22.5372	2.3937	-9.4473	-9.7473	1.3000	1.0532	0.8868	0.1201	0.0652	0.1500	0.2936	0.9591	10.7358
18.9377	12.2632	-4.0449	-4.3760	-8.4711	1.3000	0.5637	0.1603	0.1095	0.0905	0.1500	0.2642	0.4675	10.1682
28.8966	8.6017	-4.7526	-9.0427	-9.9460	1.3000	1.1398	0.5320	0.0852	0.0667	0.1500	0.2852	0.7346	14.4835
38.1815	6.6743	-9.3080	-9.5353	-9.6932	1.3000	0.5267	0.3654	0.3651	0.2266	0.1500	0.2860	0.5276	6.2608
31.4817	1.5527	-0.3686	-8.2222	-8.4726	1.3000	0.1864	0.1595	0.0747	0.0727	0.1500	0.2815	0.7804	14.1744
10.9113	-5.6927	-8.2307	-8.3026	-9.4595	1.3000	1.0763	0.8094	0.1586	0.0777	0.1500	0.2811	0.7363	9.7066
37.7638	9.7074	3.5846	-5.7471	-6.4165	1.3000	0.7483	0.1322	0.0599	0.0525	0.1500	0.2630	0.6278	10.0506
14.9146	13.6306	-3.7607	-5.1146	-7.4858	1.3000	0.5962	0.2875	0.1584	0.0684	0.1500	0.2977	0.5187	13.4074
17.2604	-6.2668	-7.1809	-7.8545	-9.0088	1.3000	0.9220	0.6039	0.5293	0.2400	0.1500	0.2685	0.7536	11.8149
6.2459	0.0429	-9.4724	-9.6087	-9.7868	1.3000	0.1754	0.0850	0.0780	0.0659	0.1500	0.2791	0.6688	7.3605
30.4839	30.2449	4.8152	0.3933	-7.8701	1.3000	0.5243	0.3065	0.2564	0.1718	0.1500	0.2508	0.9986	5.5043
38.3949	0.3290	-3.2056	-5.0872	-8.0411	1.3000	1.1762	0.5649	0.2183	0.1525	0.1500	0.2847	0.5861	8.3244
15.6313	-4.1268	-4.1302	-5.0520	-5.1242	1.3000	0.0888	0.0771	0.0629	0.0595	0.1500	0.2674	0.4056	5.9677
32.3706	-1.6248	-8.1240	-8.3380	-9.1760	1.3000	0.0686	0.0658	0.0605	0.0584	0.1500	0.2846	0.8662	10.1990
2.6666	-9.9334	-9.9466	-9.9739	-9.9967	1.3000	0.7302	0.2888	0.1288	0.0505	0.1500	0.2812	0.9969	6.0853
19.9895	-1.1973	-3.7083	-7.3359	-7.7807	1.3000	0.7549	0.3577	0.2884	0.1777	0.1500	0.2527	0.7964	7.9941
38.8749	38.5063	28.8336	17.6959	6.6737	1.3000	0.5971	0.2481	0.1442	0.0993	0.1500	0.2744	0.7352	15.8197
14.6868	6.2955	2.8772	0.7648	-6.7305	1.3000	0.9746	0.8040	0.6855	0.3778	0.1500	0.2609	0.7597	14.8980
26.7386	9.0033	-3.8230	-6.3915	-9.2383	1.3000	0.3674	0.1492	0.1162	0.0703	0.1500	0.2999	0.9651	13.6192
21.1912	9.6684	-5.7031	-7.8702	-8.8938	1.3000	1.2074	0.0558	0.0501	0.0500	0.1500	0.2904	0.6927	12.1916
10.5381	4.9763	0.9744	-4.3322	-8.7254	1.3000	1.0340	0.5253	0.4421	0.4262	0.1500	0.2961	0.7371	14.3259
5.1025	-5.2230	-9.0035	-9.6571	-9.9938	1.3000	0.0999	0.0651	0.0515	0.0500	0.1500	0.2977	0.5106	5.9068
39.1618	33.5345	-4.5357	-7.9329	-9.5855	1.3000	1.2567	0.5257	0.4503	0.3293	0.1500	0.2668	0.7378	10.6675
25.1720	16.9230	15.8632	0.7837	-2.1766	1.3000	0.2648	0.1438	0.0553	0.0546	0.1500	0.2618	0.4342	7.7958
9.4573	0.5915	-6.0722	-9.7294	-9.7526	1.3000	0.8044	0.3874	0.3405	0.1636	0.1500	0.2676	0.4469	12.2033
17.4547	10.9484	3.4033	-4.6028	-7.7727	1.3000	0.5878	0.5641	0.3869	0.2260	0.1500	0.2936	0.9847	5.3016
29.1027	16.4710	3.3038	-8.3009	-9.6640	1.3000	0.4669	0.4277	0.3073	0.1975	0.1500	0.2588	0.7644	5.7789
7.3110	-8.3915	-9.7250	-9.9653	-9.9703	1.3000	1.1791	0.5793	0.4174	0.0551	0.1500	0.2736	0.7157	6.5802
19.3180	12.3692	2.9790	-6.9283	-7.8687	1.3000	1.2479	0.4070	0.2465	0.0775	0.1500	0.2650	0.6448	7.9508
24.0290	9.1060	2.1259	1.8055	-9.6066	1.3000	0.4321	0.1180	0.0921	0.0902	0.1500	0.2617	0.9038	9.7048
14.1618	-0.4640	-8.1744	-9.4921	-9.7105	1.3000	0.8551	0.7508	0.1769	0.0789	0.1500	0.2976	0.4239	5.0636
36.3715	0.8163	-0.3545	-8.1506	-9.7939	1.3000	0.9020	0.8032	0.6699	0.4195	0.1500	0.2522	0.9894	11.6159
38.8319	33.6563	23.4772	7.2006	-0.4600	1.3000	0.0932	0.0505	0.0503	0.0501	0.1500	0.2509	0.3992	7.1613
17.9149	11.5958	-8.7582	-9.7281	-9.8648	1.3000	1.0944	0.5798	0.2200	0.2062	0.1500	0.2945	0.9577	7.3893
2.4936	-3.3637	-5.8768	-6.4071	-7.6671	1.3000	1.2815	1.0441	0.7535	0.2194	0.1500	0.2559	0.8786	6.9766
32.2610	16.0515	14.6765	-3.8406	-9.2946	1.3000	0.7760	0.5078	0.1337	0.0578	0.1500	0.2835	0.3772	8.4653
33.5126	9.5222	7.2886	-2.1143	-8.4735	1.3000	0.0538	0.0535	0.0527	0.0504	0.1500	0.2837	0.5395	9.9860
14.3003	4.3662	-9.6437	-9.7848	-9.9566	1.3000	0.4503	0.2958	0.2702	0.1173	0.1500	0.2643	0.5358	5.0618
8.9070	1.7914	-4.2784	-6.6612	-9.1801	1.3000	0.0956	0.0512	0.0503	0.0500	0.1500	0.2879	0.5938	7.3768
26.4662	-0.5216	-7.8445	-8.9184	-9.4093	1.3000	0.0702	0.0570	0.0506	0.0503	0.1500	0.2557	0.6974	12.8561
18.4695	6.6647	-7.0699	-9.3437	-9.6905	1.3000	0.4796	0.3611	0.1587	0.0518	0.1500	0.2580	0.9038	12.0960
36.2536	-2.7908	-3.5266	-8.6009	-9.1264	1.3000	0.8650	0.6994	0.5252	0.2262	0.1500	0.2771	0.7449	11.8626
22.4008	-4.1218	-7.3427	-8.6976	-9.8847	1.3000	0.1246	0.1220	0.0757	0.0691	0.1500	0.2585	0.4523	6.4905
26.7719	10.2296	1.5711	-2.6543	-3.8100	1.3000	1.2830	0.8707	0.7876	0.3563	0.1500	0.2999	0.5639	7.1671
25.0625	5.7718	-6.1601	-6.2033	-7.6604	1.3000	1.1519	0.3143	0.1005	0.0999	0.1500	0.2815	0.8756	10.7636
16.0632	2.3137	1.6274	-0.9545	-1.4737	1.3000	1.2175	1.0833	0.7400	0.1468	0.1500	0.2541	0.5705	8.5601
33.5142	7.9009	-9.3703	-9.5835	-9.6745	1.3000	1.2424	1.1816	0.2426	0.0800	0.1500	0.2504	0.8179	6.0372
35.2209	26.3252	7.6568	-1.8037	-9.6309	1.3000	0.1626	0.1377	0.0990	0.0848	0.1500	0.2893	0.5268	8.3307
25.0395	0.5175	-3.3710	-5.5567	-6.6952	1.3000	0.9602	0.4697	0.1300	0.1055	0.1500	0.2691	0.7439	8.1338
17.3908	3.6696	-6.1291	-7.8699	-8.9537	1.3000	1.1262	0.4453	0.2045	0.1260	0.1500	0.2819	0.7404	12.0272
17.1102	5.8791	-7.7703	-9.6120	-9.8174	1.3000	0.4501	0.2647	0.2414	0.1087	0.1500	0.2667	0.5190	5.3354
17.8368	5.9032	-5.5124	-6.8228	-8.3646	1.3000	0.7310	0.2310	0.1451	0.0825	0.1500	0.2968	0.4778	12.8649
24.0384	-2.1637	-3.4773	-8.1174	-9.3130	1.3000	0.8314	0.4317	0.3209	0.1480	0.1500	0.2607	0.6701	11.8452
35.3702	0.8027	-7.4305	-9.0405	-9.2885	1.3000	0.9666	0.4086	0.3483	0.0754	0.1500	0.2685	0.4811	10.0564
37.3078	0.6224	-2.3019	-5.6989	-8.4842	1.3000	0.9031	0.6477	0.3624	0.3484	0.1500	0.2564	0.8441	8.9932
36.8984	10.2266	-4.5317	-6.9125	-8.5196	1.3000	0.5742	0.2327	0.1566	0.0669	0.1500	0.2956	0.5285	13.2635
18.4163	0.8806	-3.3483	-5.5203	-7.2533	1.3000	0.5670	0.2464	0.0800	0.0651	0.1500	0.2865	0.9151	10.3589
12.1459	6.1520	-5.2241	-6.8905	-9.3936	1.3000	0.2441	0.1856	0.1680	0.0589	0.1500	0.2802	0.5111	11.6015
26.4662	-1.5216	-7.8445	-7.9184	-9.4093	1.3000	0.0702	0.0570	0.0506	0.0503	0.1500	0.2557	0.6974	13.8561
36.3075	15.6770	5.3626	-8.4926	-8.9157	1.3000	0.4487	0.0629	0.0552	0.0534	0.1500	0.2823	0.4098	7.1074
24.0290	9.1060	2.1259	1.8055	-9.6066	1.3000	0.4321	0.1180	0.0921	0.0902	0.1500	0.2617	0.9038	9.7048
14.3003	4.3662	-9.6437	-9.7848	-9.9566	1.3000	0.4503	0.2958	0.2702	0.1173	0.1500	0.2643	0.5358	5.0618
5.1025	-5.2230	-8.0035	-9.6571	-9.9938	1.3000	0.0999	0.0651	0.0515	0.0500	0.1500	0.2977	0.5106	5.9068
33.5126	9.5222	7.2886	-2.1143	-8.4735	1.3000	0.0538	0.0535	0.0527	0.0504	0.1500	0.2837	0.5395	9.9860
39.4546	35.4974	5.7146	1.6174	-9.3478	1.3000	0.3346	0.1672	0.0578	0.0572	0.1500	0.2929	0.7334	6.1963
35.7430	-0.7039	-4.2887	-7.7756	-8.2795	1.3000	0.1401	0.0986	0.0513	0.0507	0.1500	0.2552	0.5731	9.6791
15.1159	-3.6868	-7.5857	-8.5108	-9.8154	1.3000	0.8568	0.6493	0.4597	0.1694	0.1500	0.2941	0.4808	13.2235
35.7430	-0.7039	-3.2887	-6.7756	-8.2795	1.3000	1.1401	1.0986	1.0513	0.0507	0.1500	0.2552	0.5731	9.6791
26.1720	16.9230	16.8632	1.7837	-2.1766	1.3000	1.2648	0.1438	0.0553	0.0546	0.1500	0.2618	0.4342	8.7958
34.5083	26.1993	18.9191	12.2304	10.5403	1.3000	1.2990	0.2101	0.1126	0.0780	0.1500	0.2532	0.9006	7.9879
36.3715	0.8163	-0.3545	-8.1506	-9.7939	1.3000	0.9020	0.8032	0.6699	0.4195	0.1500	0.2522	0.9894	11.6159
22.4008	-4.1218	-7.3427	-7.6976	-9.8847	1.3000	0.1246	0.1220	0.0757	0.0691	0.1500	0.2585	0.4523	6.4905
35.2209	26.3252	7.6568	-2.8037	-9.6309	1.3000	0.1626	0.1377	0.0990	0.0848	0.1500	0.2893	0.5268	8.3307
38.6872	13.8981	3.7971	1.7309	-0.5586	1.3000	1.1232	1.0608	0.0500	0.0500	0.1500	0.2666	0.7416	14.1385
38.1815	6.6743	-9.3080	-9.5353	-9.6932	1.3000	0.5267	0.3654	0.3651	0.2266	0.1500	0.2860	0.5276	6.2608
18.0042	1.2860	-4.5995	-9.0283	-9.3211	1.3000	0.5679	0.5165	0.0666	0.0635	0.1500	0.2855	0.7586	6.5216
35.3075	15.6770	5.3626	-8.4926	-8.9157	1.3000	0.4487	0.0629	0.0552	0.0534	0.1500	0.2823	0.4098	7.1074
35.1840	4.8313	-9.9935	-9.9939	-9.9979	1.3000	0.8756	0.7775	0.3935	0.2560	0.1500	0.2604	0.6149	6.6282
34.5083	26.1993	18.9191	11.2304	9.5403	1.3000	0.2990	0.2101	0.1126	0.0780	0.1500	0.2532	0.9006	7.9879
26.7386	9.0033	-3.8230	-5.3915	-9.2383	1.3000	0.3674	0.1492	0.1162	0.0703	0.1500	0.2999	0.9651	13.6192
32.2610	17.0515	14.6765	-3.8406	-9.2946	1.3000	0.7760	0.5078	0.1337	0.0578	0.1500	0.2835	0.3772	8.4653
6.2459	-0.9571	-9.4724	-9.6087	-9.7868	1.3000	0.1754	0.0850	0.0780	0.0659	0.1500	0.2791	0.6688	7.3605
25.1720	16.9230	16.8632	0.7837	-2.1766	1.3000	0.2648	0.1438	0.0553	0.0546	0.1500	0.2618	0.4342	7.7958
