SD7037 (B)   
  1.00000  0.00024
  0.99970  0.00101
  0.99598  0.00202
  0.99205  0.00266
  0.98502  0.00365
  0.97716  0.00484
  0.96931  0.00617
  0.96189  0.00740
  0.95176  0.00908
  0.93747  0.01138
  0.92491  0.01353
  0.90813  0.01654
  0.89082  0.01969
  0.87337  0.02265
  0.84839  0.02689
  0.82124  0.03133
  0.77629  0.03808
  0.73714  0.04373
  0.67533  0.05168
  0.61304  0.05864
  0.55026  0.06448
  0.48609  0.06920
  0.42380  0.07261
  0.36212  0.07430
  0.29770  0.07411
  0.23632  0.07153
  0.19389  0.06803
  0.15198  0.06297
  0.12033  0.05764
  0.09461  0.05214
  0.07954  0.04827
  0.06942  0.04532
  0.05672  0.04144
  0.04558  0.03723
  0.03513  0.03261
  0.02605  0.02761
  0.01987  0.02350
  0.01370  0.01882
  0.01022  0.01598
  0.00719  0.01306
  0.00167  0.00588
  0.00022  0.00212
  0.00211 -0.00668
  0.00487 -0.00914
  0.01007 -0.01186
  0.01523 -0.01365
  0.02322 -0.01605
  0.02997 -0.01761
  0.04075 -0.01936
  0.05077 -0.02039
  0.06403 -0.02134
  0.07854 -0.02223
  0.09895 -0.02280
  0.13065 -0.02300
  0.15845 -0.02281
  0.20002 -0.02238
  0.24292 -0.02137
  0.30574 -0.01912
  0.36946 -0.01644
  0.43210 -0.01382
  0.49408 -0.01144
  0.55674 -0.00899
  0.61627 -0.00666
  0.68273 -0.00401
  0.74376 -0.00163
  0.78840 -0.00022
  0.82871  0.00066
  0.86231  0.00116
  0.89094  0.00125
  0.90746  0.00133
  0.92920  0.00109
  0.94526  0.00087
  0.95938  0.00051
  0.97400  0.00017
  0.98276 -0.00013
  0.99226 -0.00073
  0.99963 -0.00101
  1.00000  0.00024
