      XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3893   0.13736   0.12945  -0.0165   1.0000   0.0942
  -9.750  -0.3895   0.13691   0.12906  -0.0180   1.0000   0.0950
  -9.500  -0.3933   0.13730   0.12954  -0.0194   1.0000   0.0955
  -9.250  -0.3999   0.13806   0.13042  -0.0205   1.0000   0.0957
  -9.000  -0.3707   0.12596   0.11823  -0.0188   1.0000   0.0980
  -8.750  -0.3625   0.12218   0.11448  -0.0186   1.0000   0.1002
  -8.500  -0.3573   0.11941   0.11175  -0.0187   1.0000   0.1025
  -8.250  -0.3540   0.11706   0.10946  -0.0189   1.0000   0.1047
  -8.000  -0.3528   0.11524   0.10772  -0.0191   1.0000   0.1066
  -7.750  -0.3557   0.11435   0.10692  -0.0193   1.0000   0.1080
  -7.500  -0.3566   0.11428   0.10697  -0.0216   1.0000   0.1090
  -7.250  -0.3532   0.11493   0.10771  -0.0268   1.0000   0.1095
  -7.000  -0.3434   0.10682   0.09964  -0.0219   1.0000   0.1108
  -6.750  -0.3352   0.10262   0.09547  -0.0205   1.0000   0.1128
  -6.500  -0.3284   0.09967   0.09258  -0.0204   1.0000   0.1151
  -6.250  -0.3217   0.09716   0.09013  -0.0211   1.0000   0.1179
  -6.000  -0.3137   0.09548   0.08852  -0.0236   1.0000   0.1214
  -5.750  -0.2964   0.09650   0.08957  -0.0332   1.0000   0.1235
  -5.500  -0.2967   0.09027   0.08344  -0.0268   1.0000   0.1253
  -5.250  -0.2908   0.08698   0.08023  -0.0252   1.0000   0.1282
  -5.000  -0.2823   0.08457   0.07786  -0.0257   1.0000   0.1318
  -4.750  -0.2646   0.08360   0.07688  -0.0312   1.0000   0.1365
  -4.500  -0.2514   0.08107   0.07435  -0.0338   1.0000   0.1383
  -4.250  -0.2492   0.07742   0.07079  -0.0306   1.0000   0.1407
  -4.000  -0.2395   0.07486   0.06826  -0.0304   1.0000   0.1449
  -3.750  -0.2053   0.07406   0.06730  -0.0395   1.0000   0.1523
  -3.500  -0.2053   0.07004   0.06340  -0.0354   1.0000   0.1553
  -3.250  -0.1703   0.06922   0.06241  -0.0431   1.0000   0.1668
  -3.000  -0.1689   0.06514   0.05844  -0.0392   1.0000   0.1702
  -2.750  -0.1361   0.06376   0.05691  -0.0452   1.0000   0.1822
  -2.500  -0.1292   0.06032   0.05356  -0.0428   1.0000   0.1872
  -2.250  -0.1033   0.05814   0.05130  -0.0461   1.0000   0.1998
  -2.000  -0.0817   0.05593   0.04905  -0.0478   1.0000   0.2153
  -1.750  -0.0523   0.05491   0.04786  -0.0514   1.0000   0.2431
  -1.500  -0.0374   0.05182   0.04485  -0.0508   1.0000   0.2615
  -1.250  -0.0165   0.04988   0.04289  -0.0517   1.0000   0.2932
  -1.000  -0.0020   0.04752   0.04060  -0.0505   1.0000   0.3296
  -0.500   0.0140   0.04278   0.03611  -0.0440   1.0000   0.4751
  -0.250   0.0258   0.04044   0.03384  -0.0412   1.0000   0.5393
   0.000   0.0417   0.03823   0.03169  -0.0394   1.0000   0.5898
   0.250   0.0611   0.03633   0.02981  -0.0383   1.0000   0.6344
   0.500   0.0876   0.03482   0.02827  -0.0393   1.0000   0.6649
   0.750   0.1354   0.03461   0.02779  -0.0465   1.0000   0.6511
   1.000   0.2085   0.03686   0.02925  -0.0614   1.0000   0.4965
   1.250   0.2560   0.03800   0.02971  -0.0679   1.0000   0.3857
   1.500   0.2904   0.03819   0.02944  -0.0706   1.0000   0.3314
   1.750   0.3186   0.03831   0.02927  -0.0719   1.0000   0.3151
   2.000   0.3739   0.03860   0.02910  -0.0781   0.9925   0.2950
   2.250   0.4366   0.03886   0.02902  -0.0856   0.9800   0.2933
   2.500   0.4956   0.03910   0.02894  -0.0923   0.9658   0.2905
   2.750   0.5542   0.03916   0.02887  -0.0990   0.9509   0.2974
   3.000   0.6100   0.03933   0.02895  -0.1049   0.9349   0.2988
   3.250   0.6671   0.03949   0.02909  -0.1109   0.9186   0.3082
   3.500   0.7241   0.03949   0.02926  -0.1167   0.9017   0.3207
   3.750   0.7805   0.03946   0.02948  -0.1221   0.8841   0.3329
   4.000   0.8387   0.03926   0.02967  -0.1276   0.8660   0.3606
   4.250   0.9160   0.03796   0.02970  -0.1364   0.8481   1.0000
   4.500   1.0163   0.03323   0.02493  -0.1414   0.8114   1.0000
   4.750   1.0719   0.03004   0.02183  -0.1399   0.7694   1.0000
   5.000   1.1167   0.02718   0.01905  -0.1367   0.7230   1.0000
   5.250   1.1375   0.02520   0.01700  -0.1298   0.6551   1.0000
   5.500   1.1456   0.02445   0.01592  -0.1217   0.5377   1.0000
   5.750   1.1374   0.02688   0.01635  -0.1131   0.2847   1.0000
   6.000   1.1410   0.02983   0.01823  -0.1090   0.1988   1.0000
   6.250   1.1551   0.03188   0.01993  -0.1064   0.1737   1.0000
   6.500   1.1758   0.03371   0.02158  -0.1047   0.1588   1.0000
   6.750   1.2031   0.03548   0.02326  -0.1039   0.1462   1.0000
   7.000   1.2388   0.03753   0.02526  -0.1044   0.1378   1.0000
   7.250   1.2751   0.03979   0.02754  -0.1050   0.1318   1.0000
   7.500   1.3088   0.04265   0.03036  -0.1056   0.1261   1.0000
   7.750   1.3350   0.04521   0.03333  -0.1047   0.1231   1.0000
   8.000   1.3600   0.04829   0.03685  -0.1036   0.1222   1.0000
   8.250   1.3805   0.05165   0.04066  -0.1020   0.1217   1.0000
   8.500   1.3960   0.05510   0.04457  -0.0998   0.1207   1.0000
   8.750   1.4074   0.05876   0.04871  -0.0974   0.1198   1.0000
   9.000   1.4144   0.06286   0.05331  -0.0945   0.1205   1.0000
   9.250   1.4182   0.06753   0.05846  -0.0917   0.1228   1.0000
   9.500   1.4209   0.07251   0.06384  -0.0891   0.1251   1.0000
   9.750   1.4339   0.07818   0.06966  -0.0881   0.1279   1.0000
  10.000   1.3837   0.08301   0.07544  -0.0813   0.1327   1.0000
  10.250   1.3524   0.08894   0.08172  -0.0780   0.1362   1.0000
