  
       XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.140 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 ******* NaN      NaN       NaN       NaN        1.0000   1.0000
 -90.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -80.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -70.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -60.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -50.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -40.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -30.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -25.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -20.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -11.000 NaN      NaN       NaN       NaN        1.0000   1.0000
 -10.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -9.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -8.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -7.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -6.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -5.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -4.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -3.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -2.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  -1.000 NaN      NaN       NaN       NaN        1.0000   1.0000
   0.000 NaN      NaN       NaN       NaN        1.0000   1.0000
   1.000 NaN      NaN       NaN       NaN        1.0000   1.0000
