  
       XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   1.000   0.6893   0.01633   0.00985  -0.1363   0.8563   0.1685
   2.000   0.7988   0.01458   0.00753  -0.1334   0.8015   0.1503
   3.000   0.9026   0.01358   0.00636  -0.1294   0.7184   0.1542
   4.000   0.9916   0.01383   0.00586  -0.1224   0.5039   0.1644
   5.000   1.0488   0.01965   0.00924  -0.1121   0.0659   0.1782
   6.000   1.2101   0.02416   0.01515  -0.1251   0.0482   1.0000
   7.000   1.2995   0.03055   0.02167  -0.1199   0.0422   1.0000
   8.000   1.3866   0.04354   0.03597  -0.1136   0.0515   1.0000
   1.000   0.6893   0.01633   0.00985  -0.1363   0.8563   0.1685
   2.000   0.7988   0.01458   0.00753  -0.1334   0.8015   0.1503
   3.000   0.9026   0.01358   0.00636  -0.1294   0.7184   0.1542
   4.000   0.9916   0.01383   0.00586  -0.1224   0.5039   0.1644
   5.000   1.0488   0.01965   0.00924  -0.1121   0.0659   0.1782
   6.000   1.2101   0.02416   0.01515  -0.1251   0.0482   1.0000
   7.000   1.2995   0.03055   0.02167  -0.1199   0.0422   1.0000
   8.000   1.3866   0.04354   0.03597  -0.1136   0.0515   1.0000
   9.000   1.4264   0.05823   0.05182  -0.1032   0.0532   1.0000
  10.000   1.4349   0.07061   0.06560  -0.0887   0.0609   1.0000
  13.000   0.0000 NaN       NaN         0.0000   0.0483   0.1693
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  19.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  20.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  10.000   0.0000 NaN       NaN         0.0000   0.0437   1.0000
  11.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  19.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  20.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  10.000   0.0000 NaN       NaN         0.0000   0.0437   1.0000
  10.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  10.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  11.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
