  
       XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3994   0.13360   0.12958  -0.0141   1.0000   0.0374
 -11.000  -0.4202   0.14027   0.13618  -0.0086   1.0000   0.0279
 -19.000  -0.6244   0.23919   0.23505   0.0293   1.0000   0.0225
 -20.000  -0.6530   0.25102   0.24697   0.0356   1.0000   0.0175
 -18.000  -0.5953   0.22863   0.22447   0.0229   1.0000   0.0233
 -17.000  -0.5674   0.21921   0.21505   0.0165   1.0000   0.0237
 -16.000  -0.5414   0.20837   0.20420   0.0107   1.0000   0.0239
 -19.000  -0.6244   0.23919   0.23505   0.0293   1.0000   0.0225
 -18.000  -0.5953   0.22863   0.22447   0.0229   1.0000   0.0233
 -17.000  -0.5674   0.21921   0.21505   0.0165   1.0000   0.0237
 -16.000  -0.5414   0.20837   0.20420   0.0107   1.0000   0.0239
 -15.000  -0.5172   0.19726   0.19311   0.0053   1.0000   0.0241
 -14.000  -0.4945   0.18568   0.18146   0.0002   1.0000   0.0242
 -13.000  -0.4721   0.17365   0.16946  -0.0043   1.0000   0.0243
 -12.000  -0.4502   0.16114   0.15699  -0.0088   1.0000   0.0244
 -11.000  -0.4202   0.14027   0.13618  -0.0086   1.0000   0.0279
 -10.000  -0.3994   0.13360   0.12959  -0.0141   1.0000   0.0374
  -9.000  -0.3890   0.12672   0.12282  -0.0181   1.0000   0.0379
  -8.000  -0.3725   0.10974   0.10598  -0.0181   1.0000   0.0394
  -7.000  -0.3493   0.09802   0.09430  -0.0166   1.0000   0.0410
  -6.000  -0.3247   0.08829   0.08477  -0.0175   1.0000   0.0435
  -5.000  -0.2883   0.07941   0.07601  -0.0231   0.9960   0.0471
  -4.000  -0.0942   0.06678   0.06302  -0.0645   0.9760   0.0545
  -2.000   0.2194   0.03748   0.03275  -0.1036   0.9372   0.0739
  -1.000   0.3688   0.02158   0.01571  -0.1150   0.9218   0.0755
   2.000   0.7989   0.01458   0.00754  -0.1334   0.8022   0.1505
   3.000   0.9026   0.01358   0.00636  -0.1294   0.7185   0.1541
   4.000   0.9916   0.01383   0.00586  -0.1224   0.5039   0.1644
   5.000   1.0488   0.01965   0.00924  -0.1121   0.0659   0.1782
   6.000   1.2101   0.02416   0.01515  -0.1251   0.0482   1.0000
   7.000   1.2995   0.03054   0.02167  -0.1199   0.0422   1.0000
   8.000   1.3866   0.04354   0.03597  -0.1136   0.0515   1.0000

  12.000   1.0431   0.17251   0.16895  -0.1109   0.0710   1.0000
  13.000   1.1664   0.14779   0.14424  -0.0927   0.0546   1.0000
  14.000   1.1304   0.18270   0.17920  -0.1179   0.0528   1.0000
  15.000   1.1376   0.20099   0.19747  -0.1281   0.0413   1.0000
  16.000   1.1383   0.22503   0.22147  -0.1329   0.0380   1.0000
  17.000   1.1483   0.24724   0.24368  -0.1423   0.0377   1.0000
  18.000   1.1567   0.26706   0.26351  -0.1546   0.0355   1.0000
  19.000   1.1669   0.28770   0.28432  -0.1626   0.0315   1.0000
  20.000   1.1754   0.30767   0.30433  -0.1681   0.0287   1.0000
